birth_year,birth_month,region,age,n_births,n_valid_status,n_single,n_married,n_widowed,n_separated,n_uniao_estavel,n_unknown,n_dtnascmae_invalid
2013,1,0,11,4,4,3,0,0,0,1,0,0
2013,1,0,12,56,55,42,2,0,0,11,1,0
2013,1,0,13,469,457,343,8,0,0,106,12,0
2013,1,0,14,1649,1602,1158,15,1,0,428,47,0
2013,1,0,15,4148,4075,2779,70,0,2,1224,73,0
2013,1,0,16,7025,6924,4383,342,1,4,2194,101,0
2013,1,0,17,9409,9283,5555,762,7,13,2946,126,0
2013,1,0,18,11000,10851,6189,1230,10,7,3415,149,0
2013,1,0,19,12037,11884,6399,1837,7,15,3626,153,0
2013,1,1,11,1,1,0,0,0,0,1,0,0
2013,1,1,12,13,13,10,1,0,0,2,0,0
2013,1,1,13,78,75,46,1,0,0,28,3,0
2013,1,1,14,271,262,165,2,0,0,95,9,0
2013,1,1,15,670,656,346,16,0,0,294,14,0
2013,1,1,16,1065,1054,551,31,0,0,472,11,0
2013,1,1,17,1348,1329,656,78,0,0,595,19,0
2013,1,1,18,1507,1489,659,123,0,1,706,18,0
2013,1,1,19,1627,1610,693,164,1,1,751,17,0
2013,1,2,12,27,26,18,1,0,0,7,1,0
2013,1,2,13,188,182,123,4,0,0,55,6,0
2013,1,2,14,615,596,407,5,1,0,183,19,0
2013,1,2,15,1417,1387,851,28,0,1,507,30,0
2013,1,2,16,2295,2248,1245,114,0,2,887,47,0
2013,1,2,17,3039,2975,1515,253,3,7,1197,64,0
2013,1,2,18,3283,3215,1614,355,6,3,1237,68,0
2013,1,2,19,3673,3600,1697,527,4,1,1371,73,0
2013,1,3,11,2,2,2,0,0,0,0,0,0
2013,1,3,12,8,8,7,0,0,0,1,0,0
2013,1,3,13,115,112,104,0,0,0,8,3,0
2013,1,3,14,479,469,384,6,0,0,79,10,0
2013,1,3,15,1292,1274,1052,15,0,1,206,18,0
2013,1,3,16,2231,2201,1712,118,1,0,370,30,0
2013,1,3,17,3121,3092,2269,266,2,4,551,29,0
2013,1,3,18,3837,3790,2601,465,1,3,720,47,0
2013,1,3,19,4281,4237,2738,712,2,8,777,44,0
2013,1,4,11,1,1,1,0,0,0,0,0,0
2013,1,4,12,5,5,4,0,0,0,1,0,0
2013,1,4,13,49,49,39,1,0,0,9,0,0
2013,1,4,14,158,157,111,2,0,0,44,1,0
2013,1,4,15,464,460,330,5,0,0,125,4,0
2013,1,4,16,872,868,547,44,0,1,276,4,0
2013,1,4,17,1127,1120,673,93,0,1,353,7,0
2013,1,4,18,1439,1431,821,165,1,0,444,8,0
2013,1,4,19,1515,1503,811,256,0,2,434,12,0
2013,1,5,12,3,3,3,0,0,0,0,0,0
2013,1,5,13,39,39,31,2,0,0,6,0,0
2013,1,5,14,126,118,91,0,0,0,27,8,0
2013,1,5,15,305,298,200,6,0,0,92,7,0
2013,1,5,16,562,553,328,35,0,1,189,9,0
2013,1,5,17,774,767,442,72,2,1,250,7,0
2013,1,5,18,934,926,494,122,2,0,308,8,0
2013,1,5,19,941,934,460,178,0,3,293,7,0
2013,2,0,10,1,1,1,0,0,0,0,0,0
2013,2,0,11,6,6,6,0,0,0,0,0,0
2013,2,0,12,57,55,47,0,0,0,8,2,0
2013,2,0,13,458,448,342,13,0,0,93,10,0
2013,2,0,14,1565,1523,1130,22,0,1,370,42,0
2013,2,0,15,3883,3812,2579,65,0,1,1167,71,0
2013,2,0,16,6701,6596,4215,323,3,7,2048,105,0
2013,2,0,17,8589,8478,5084,727,7,7,2653,111,0
2013,2,0,18,10291,10152,5812,1251,3,19,3067,139,0
2013,2,0,19,11513,11371,6178,1721,8,16,3448,142,0
2013,2,1,10,1,1,1,0,0,0,0,0,0
2013,2,1,11,3,3,3,0,0,0,0,0,0
2013,2,1,12,12,12,10,0,0,0,2,0,0
2013,2,1,13,80,78,58,1,0,0,19,2,0
2013,2,1,14,263,257,162,4,0,0,91,6,0
2013,2,1,15,605,595,337,8,0,1,249,10,0
2013,2,1,16,944,928,510,29,0,1,388,16,0
2013,2,1,17,1250,1233,601,69,2,1,560,17,0
2013,2,1,18,1358,1340,635,114,1,3,587,18,0
2013,2,1,19,1508,1489,649,137,2,3,698,19,0
2013,2,2,12,29,27,21,0,0,0,6,2,0
2013,2,2,13,179,177,116,10,0,0,51,2,0
2013,2,2,14,579,558,362,11,0,0,185,21,0
2013,2,2,15,1335,1300,766,33,0,0,501,35,0
2013,2,2,16,2244,2188,1189,120,2,3,874,56,0
2013,2,2,17,2703,2650,1376,242,1,2,1029,53,0
2013,2,2,18,3094,3028,1509,359,1,5,1154,66,0
2013,2,2,19,3383,3315,1598,495,2,2,1218,68,0
2013,2,3,11,1,1,1,0,0,0,0,0,0
2013,2,3,12,9,9,9,0,0,0,0,0,0
2013,2,3,13,107,106,98,2,0,0,6,1,0
2013,2,3,14,468,463,407,3,0,1,52,5,0
2013,2,3,15,1233,1217,1019,12,0,0,186,16,0
2013,2,3,16,2235,2210,1718,99,0,2,391,25,0
2013,2,3,17,2988,2957,2166,244,2,2,543,31,0
2013,2,3,18,3732,3692,2525,498,0,5,664,40,0
2013,2,3,19,4254,4209,2733,727,0,7,742,45,0
2013,2,4,11,1,1,1,0,0,0,0,0,0
2013,2,4,12,5,5,5,0,0,0,0,0,0
2013,2,4,13,41,40,32,0,0,0,8,1,0
2013,2,4,14,140,139,118,1,0,0,20,1,0
2013,2,4,15,420,418,284,4,0,0,130,2,0
2013,2,4,16,770,766,508,43,0,0,215,4,0
2013,2,4,17,972,966,579,100,0,1,286,6,0
2013,2,4,18,1314,1308,732,165,0,5,406,6,0
2013,2,4,19,1427,1422,756,205,2,3,456,5,0
2013,2,5,11,1,1,1,0,0,0,0,0,0
2013,2,5,12,2,2,2,0,0,0,0,0,0
2013,2,5,13,51,47,38,0,0,0,9,4,0
2013,2,5,14,115,106,81,3,0,0,22,9,0
2013,2,5,15,290,282,173,8,0,0,101,8,0
2013,2,5,16,508,504,290,32,1,1,180,4,0
2013,2,5,17,676,672,362,72,2,1,235,4,0
2013,2,5,18,793,784,411,115,1,1,256,9,0
2013,2,5,19,941,936,442,157,2,1,334,5,0
2013,3,0,11,8,8,6,0,0,0,2,0,0
2013,3,0,12,60,59,50,0,0,0,9,1,0
2013,3,0,13,540,523,376,13,1,1,132,17,0
2013,3,0,14,1802,1763,1272,25,0,0,466,39,0
2013,3,0,15,4445,4370,3005,81,0,3,1281,75,0
2013,3,0,16,7387,7289,4640,358,2,8,2281,98,0
2013,3,0,17,9965,9822,5957,843,4,11,3007,143,0
2013,3,0,18,11446,11287,6552,1294,14,10,3417,159,0
